,ID,locationID,ServiceID,Feedback,tst
0,1,14,,the location is very accessible and staff was very helpful,Dawson Creek
1,2,14,,the service was rated as average. the staff was not helpful and the location is not accessible.,Dawson Creek
2,3,14,,service is rated as average because the plan is not very detailed.,Dawson Creek
3,4,14,,great service from government and excellent staff. location could be better.,Dawson Creek
4,5,14,,john was such a bad staff. we need more help and guidance in the entire process.,Dawson Creek
5,6,14,,excellent government service. friendly staff. The location could be better,Dawson Creek
6,7,14,,great service from government and excellent staff. location could be better,Dawson Creek
7,8,14,,the facility is good and amazing staff,Dawson Creek
8,9,14,,The facility can be improved. The staff are polite but slow.,Dawson Creek
9,10,14,,We need more guidance in the next steps provided by your service. The staff was busy and could not help much,Dawson Creek
10,11,64,,Organized lots of social distancing. awesome staff security was there.,Victoria
11,12,64,,This location lives up to my expectation for service bc,Victoria
12,#13,64,,Their app is poorly developed and staff are doing nothing to fix it. Until they do everyone will just have to do rounds to the location again and again for verification.,Victoria
13,14,64,,The service provided are expensive. Staff was unhelpful,Victoria
14,15,64,,"Staff clearly explained the steps I should take to change my legal name and thoughtfully instructed me how to get to Commissionaire BC taking electronic fingerprints first. After that was done, I went back to the center and he checked my new BC MSP number and helped me completing my application",Victoria
15,#16,64,,Staff are great! The line up out the door and around the corner was ridiculous for this service!,Victoria
16,17,64,,Drop in location & found that it is closed on Saturdays. Looks like I've to visit from Mon-Fri. and it's open from 8:30 a.m. onwards. No loss since Starbucks & Bigwheel Burger is just down the corner or across is Yoshi Sushi for an early lunch that offers discount of 20% off on weekends,Victoria
17,18,64,,It is better to go to a location other than this. It is because I wasn't sure and spent the $3 parking where it's free somewhere else.,Victoria
18,19,64,,Very knowledgable and polite staff. Yet the wait time for service is riduculous.,Victoria
19,20,64,,long waiting for the service,Victoria
20,21,37,,As always the staff was very helpful and informative and I could've swore I saw a smile under that mask,Nanaimo
21,#22,37,,"Fast easy replacement of my driver's license.  Made appointment,  was seen promptly and the staff was cheerful and efficient.  Overall 5-10 minutes!Very pleased customer!!",Nanaimo
22,23,37,,Everyone was attentive to the line of people and greeted each person with a smile. A quick and painless experience at this location.,Nanaimo
23,24,37,,The service is fine. But it would be cool if you were open on weekends when people are actually available so you don’t have to take time off work,Nanaimo
24,25,37,,Always happy & has a great experience with staffs there! Very friendly & very helpful,Nanaimo
25,26,37,,Had issues concerning stolen ID.Very helpful staff .Very experienced 5/5 for me for service.,Nanaimo
26,27,37,,We had an appointment found parking quickly and had great service.,Nanaimo
27,28,37,,Terrible experience with the customer service reps,Nanaimo
28,29,37,,"Helped me to renew my service card quickly and professionally, and were user-friendly as well as being pleasant to deal with. I asked for directions for my next stop and staff provided a hand-drawn map! Above and beyond. Thanks folks.",Nanaimo
29,30,37,,Best service and lovely people,Nanaimo
30,31,33,,"I visited twice Service BC Maple ridge and both of the time I had wonderful service experience with them. Especially DIANA was very very polite,helpful,friendly above and beyond resolving my Driving licence related issues",Maple Ridge
31,32,33,,"Just been here to get my BC services card and Driving licence renewed, - perfect example of how to operate during a pandemic. Swift, efficient, professional and courteous. Well done!",Maple Ridge
32,33,33,,Worst experience at this location. Staff was failing to do basic things for my purpose.,Maple Ridge
33,#34,33,,It was an excellent experience for me when I went there for my son's first name change. Staff was so helpful and giving me all the instructions with patience,Maple Ridge
34,#35,33,,location is well layed out. Had no trouble finding where I needed to go for my license application.,Maple Ridge
35,#36,33,,Very organised during these times. The staff that helped me was very courteous and friendly.,Maple Ridge
36,37,33,,One of a staff attitude was awful,Maple Ridge
37,38,33,,Very helpful staff. Thank you very much for the service.,Maple Ridge
38,39,33,,"Everyone observing social distancing, unfortunately not enough people using face masks. But service was fast and smooth. Thanks.",Maple Ridge
39,40,33,,The service was quick & extremely safe as far as Covid-19 is concerned,Maple Ridge
